1976,CODPD00,Denver,CO,523676,4107,86,383,1596,2042
1976,MI82349,Detroit,MI,1334100,29699,663,1230,6593,21213
1976,TX07102,ElPaso,TX,361413,1573,25,118,638,792
1976,VA02901,FairfaxCounty,VA,524272,708,17,84,270,337
1976,TX22012,FortWorth,TX,364302,1732,70,174,503,985
1976,CA01005,Fresno,CA,177900,1267,28,55,461,723
1976,HI00200,Honolulu,HI,718424,1696,40,164,380,1112
1976,TXHPD00,Houston,TX,1477000,8045,321,690,1503,5531
1976,INIPD00,Indianapolis,IN,494730,4144,68,347,1363,2366
1976,FL01602,Jacksonville,FL,543839,4443,90,279,2516,1558
1976,MOKPD00,KansasCity,MO,488012,5578,95,350,2723,2410
1976,NV00201,LasVegas,NV,265347,2473,35,151,1011,1276
1976,CA01941,LongBeach,CA,340900,2950,69,200,978,1703
1976,CA01900,LosAngelesCounty,CA,1027865,10104,155,564,6662,2723
1976,CA01942,LosAngeles,CA,2739100,31960,501,2047,15187,14225
1976,KY05680,Louisville,KY,,,,,,
1976,TNMPD00,Memphis,TN,649819,4780,113,472,1766,2429
1976,AZ00717,Mesa,AZ,100763,311,5,15,202,89
1976,FL01300,Miami-DadeCounty,FL,649499,6787,70,216,4562,1939
1976,FL01306,Miami,FL,338721,5172,84,145,2630,2313
1976,WIMPD00,Milwaukee,WI,652517,2692,57,168,846,1621
1976,MN02711,Minneapolis,MN,397421,2954,27,300,1220,1407
1976,MD01604,MontgomeryCounty,MD,480055,932,26,85,257,564
1976,TN01901,Nashville,TN,445979,2831,74,129,906,1722
1976,NY02900,NassauCounty,NY,1053093,887,20,23,185,659
1976,LANPD00,NewOrleans,LA,557327,4810,170,264,1776,2600
1976,NY03030,NewYorkCity,NY,7530493,134153,1622,3400,42948,86183
1976,NJNPD00,Newark,NJ,367886,6565,99,323,2309,3834
1976,CA00109,Oakland,CA,333100,5514,98,309,2213,2894
1976,OK05506,OklahomaCity,OK,376522,2360,36,228,1326,770
1976,NB02802,Omaha,NE,388592,2008,19,193,1008,788
1976,FL04804,Orlando,FL,116848,1118,17,98,676,327
1976,PAPEP00,Philadelphia,PA,1916665,13113,338,764,4225,7786
1976,AZ00723,Phoenix,AZ,669005,3856,53,240,2078,1485
1976,PAPPD00,Pittsburgh,PA,487106,4621,62,287,1853,2419
1976,OR02602,Portland,OR,379818,4304,39,322,2030,1913
1976,MD01721,PrinceGeorge'sCounty,MD,578318,3869,37,280,1611,1941
1976,NC09201,Raleigh,NC,148093,531,11,29,353,138
1976,CA03404,Sacramento,CA,260700,2799,52,192,1368,1187
1976,UT01803,SaltLakeCity,UT,175400,959,11,102,364,482
1976,TXSPD00,SanAntonio,TX,753069,3285,119,263,1641,1262
1976,CA03711,SanDiego,CA,773400,4118,59,233,1555,2271
1976,CA03801,SanFrancisco,CA,665000,10756,130,619,3379,6628
1976,CA04313,SanJose,CA,557700,2523,37,296,1223,967
1976,WASPD00,Seattle,WA,503500,4128,42,322,1601,2163
1976,MOSPD00,St.Louis,MO,534206,9574,182,489,3600,5303
1976,NY05101,SuffolkCounty,NY,1177192,1810,34,126,671,979
1976,FL02902,Tampa,FL,274568,2935,42,162,1706,1025
1976,AZ01003,Tucson,AZ,340927,1464,24,136,750,554
1976,OK07205,Tulsa,OK,349516,1747,27,131,1197,392
1976,VA12800,VirginiaBeach,VA,216176,481,12,59,253,157
1976,DCMPD00,Washington,DC,702000,10399,188,508,2659,7044
1976,KS08703,Wichita,KS,256455,1114,19,111,470,514
1976,,UnitedStates,,1004210,18780,,,,
1977,NM00101,Albuquerque,NM,292341,2390,31,207,1398,754
1977,TX22001,Arlington,TX,112994,389,4,34,266,85
1977,GAAPD00,Atlanta,GA,440300,7595,138,510,3593,3354
1977,CO00101,Aurora,CO,137200,585,3,42,374,166
1977,TX22701,Austin,TX,321900,1260,33,187,528,512
1977,MD00301,BaltimoreCounty,MD,643363,4010,22,162,3109,717
1977,MDBPD00,Baltimore,MD,827494,14283,171,499,6050,7563
1977,MA01301,Boston,MA,619321,9422,75,408,3284,5655
1977,NY01401,Buffalo,NY,415352,3945,45,236,1842,1822
1977,NC06001,Charlotte,NC,262314,2245,47,119,1465,614
1977,ILCPD00,Chicago,IL,3086806,28873,823,1227,10311,16512
1977,OHCIP00,Cincinnati,OH,423671,3439,72,291,1451,1625
1977,OHCLP00,Cleveland,OH,638793,9421,249,508,2198,6466
1977,OHCOP00,Columbus,OH,568800,3238,69,331,1086,1752
1977,TXDPD00,Dallas,TX,873700,8899,224,637,4401,3637
1977,CODPD00,Denver,CO,520200,5032,73,466,2005,2488
